TR:1BRcell:CellLine,TR:no pep,TR:L0.04,TR:Q4,TR:L0.4,TR:L4,TR:Y4,DA:ERK1,DA:ERK2,DA:JNK1,DA:JNK3,DA:JNK2,DA:nNFAT,DA:IL-2,DA:Akt,DA:p38,DA:MK2,DA:IKK,DA:cNFAT,DV:ERK1,DV:ERK2,DV:JNK1,DV:JNK3,DV:JNK2,DV:nNFAT,DV:IL-2,DV:Akt,DV:p38,DV:MK2,DV:IKK,DV:cNFAT
1,1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.49,0,0,0,0,0,0.55
1,1,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,1.61,0,0,0,0.81,1.02,0.58
1,1,,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0,0,0,0,0,0.21,0,0,0,0.68,1.5,0.17
1,1,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0,0,0,0,0,1.12,0,0,0,2.17,1.46,1.76
1,1,,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0,0,0,0,0,0.18,1e-08,0,0,0.64,1.12,0.19
1,1,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0,0,0,0,0,0.18,0,0,0,0.44,1.42,0.45
1,1,,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0,0,0,0,0,0,0,0,0,190.73,322.92,0
1,1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.65,0.95,0.39,0.63,0,1.0,1.0,0,0,0.59
1,1,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.33,1.51,3.3,1.74,0.28,0.77,0,1.65,1.56,0.87,1.05,1.0
1,1,,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.87,0.75,0.64,2.16,1.06,0.47,0,1.47,0.56,0.45,1.42,0.66
1,1,,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.83,0.9,0.77,0.33,0.03,0.07,0,4.2,0.73,0.62,0.4,0.07
1,1,,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.9,0.85,0.68,0.81,0.15,0.27,1e-08,1.06,1.01,0.72,0.43,0.1
1,1,,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.68,0.73,0.0,0.31,0.12,0.4,0,3.82,0.42,0.25,1.96,0.37
1,1,,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,208.5,201.6,175.48,296.19,116.43,0,0,502.7,176.84,128.41,273.15,0
1,,,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35,1.05,1.61,0.39,0,1.0,1.0,0,0,0.19
1,,,1,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.78,1.99,7.91,11.47,1.95,6.58,0,1.11,3.65,3.27,1.88,15.09
1,,,1,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,1.19,1.56,1.09,1.48,2.91,0.0,0,3.03,0.61,0.74,2.19,0.03
1,,,1,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.07,2.09,0.62,2.35,0.35,0.91,0,1.87,2.92,5.24,0.98,1.01
1,,,1,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1.2,1.46,3.36,2.48,3.0,0.34,0.0,3.22,1.75,5.22,3.02,0.01
1,,,1,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,3.62,2.44,5.97,2.81,3.74,0.55,0,5.91,0.8,1.06,1.04,0.54
1,,,1,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,410.0,425.6,704.5,644.39,656.26,0,0,799.9,328.47,612.77,482.6,0
1,,,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.65,0,0,0,0.98,0,1.0,1.0,0,0,1.38
1,,,1,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.07,2.39,0,0,0,0.58,0,0.69,0.94,1.33,0.93,1.31
1,,,1,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,1.18,3.93,0,0,0,0.34,0,1.52,0.57,1.17,0.88,0.32
1,,,1,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.8,2.7,0,0,0,1.1,0,0.97,0.35,0.25,0.72,0.51
1,,,1,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,11.09,9.77,0,0,0,0.45,1e-08,1.42,1.11,2.35,0.81,0.36
1,,,1,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.66,2.04,0,0,0,0.6,0,0.94,0.32,0.39,0.72,0.17
1,,,1,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,894.0,1138.6,0,0,0,0,0,303.67,160.22,294.75,196.79,0
1,,,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.44,0.49,1.38,0.89,0.62,0,1.1,0.98,0,0,0.41
1,,,1,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.32,1.56,1.12,3.57,0.92,323.65,0,0.86,4.08,0.84,2.39,7.26
1,,,1,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.51,0.47,0.87,0.71,0.82,0.1,0,1.3,0.34,0.23,0.12,0.16
1,,,1,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.9,2.01,1.33,1.57,0.99,2.08,0,1.04,1.82,0.75,0.77,1.36
1,,,1,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.32,0.44,1.45,0.72,1.25,0.3,1e-08,1.33,0.77,0.34,0.19,0.25
1,,,1,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.42,0.44,0.82,0.79,1.18,0.18,0,1.15,0.3,0.27,0.11,0.14
1,,,1,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,113.2,164.0,255.2,242.2,245.36,0,0,292.8,201.86,89.43,87.13,0
1,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.06,1.16,1.02,0.88,0,1.31,1.0,0,0,0.4
1,,,,,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.56,1.92,1.13,0.94,0.58,5.58,0,0.77,2.83,1.58,2.07,0.83
1,,,,,,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.15,0.19,1.04,1.38,1.17,0.43,0,0.82,0.78,0.44,0.72,0.43
1,,,,,,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.18,0.19,1.21,0.93,1.1,0.74,0,1.21,1.43,1.24,0.99,0.71
1,,,,,,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.17,0.38,1.1,1.05,1.12,4.93,1e-08,1.06,8.49,2.78,1.15,0.32
1,,,,,,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.12,0.15,0.56,0.74,0.69,0.73,0,0.83,1.01,0.47,1.2,0.48
1,,,,,,1,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,62.0,85.4,238.05,264.2,244.48,0,0,223.3,708.49,287.66,248.79,0
1,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.82,0,1.0,1.0,0,0,0.86
1,,,,,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.98,3.03,0,0,0,0.52,0,0.86,0.94,0.84,0.97,0.83
1,,,,,,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,4.7,7.38,0,0,0,0.3,0,1.76,0.74,1.31,0.95,0.29
1,,,,,,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.24,3.21,0,0,0,0.4,0,1.2,0.25,0.38,1.01,0.29
1,,,,,,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,12.45,19.44,0,0,0,0.64,0.0,1.44,0.45,0.8,1.11,0.21
1,,,,,,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.62,1.93,0,0,0,0.22,0,0.97,0.21,0.5,0.95,0.12
1,,,,,,1,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,1314.0,2048.5,0,0,0,0,0,336.69,128.19,215.02,239.89,0
1,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1.56,1.51,0.62,1.11,1.12,0,0.9,1.02,0,0,0.31
1,,,,,,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.57,1.09,0.88,1.74,0.57,195.44,0,0.99,2.42,2.09,6.1,0
1,,,,,,1,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,1.19,0.97,0.71,0.81,0.85,0.5,0,1.51,0.64,1.14,1.53,0.28
1,,,,,,1,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.06,2.95,1.92,1.52,1.26,1.92,0,0.84,1.83,3.24,0.93,9.18
1,,,,,,1,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.69,0.84,0.42,0.4,0.33,0.53,0.01,1.13,0.63,2.19,0.72,0.36
1,,,,,,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.66,0.65,1.54,0.49,1.25,0.45,0,1.07,0.41,0.82,0.57,0.29
1,,,,,,1,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,246.3,265.2,226.63,185.71,198.4,0,0,292.3,200.35,388.09,326.92,0
1,,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.94,0.84,0.98,1.06,0,0.69,1.0,0,0,0.71
1,,1,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.29,3.54,1.36,1.82,1.31,0.93,0,0.83,4.48,4.81,0.55,0.57
1,,1,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.25,0.21,0.95,0.77,0.6,1.34,0,0.66,1.56,2.08,0.66,0.53
1,,1,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.32,0.38,1.35,0.93,1.09,1.09,0,0.67,2.92,2.75,0.56,0.7
1,,1,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,0.44,0.36,1.12,1.46,0.54,0.47,0.02,0.63,2.56,0.98,0.74,0.58
1,,1,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.52,0.44,1.14,1.09,0.95,0.47,0,0.54,0.83,1.59,1.25,0.59
1,,1,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,149.7,128.1,262.87,260.06,181.18,0,0,153.6,476.67,463.19,186.93,0
1,,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.05,0.97,0.75,0.85,0.43,0,1.0,1.0,0,0,0.39
1,,1,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.37,0.55,1.26,1.25,0.84,5.02,0,2.73,4.84,1.01,0.8,419.25
1,,1,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.55,0.5,0.9,0.96,1.17,0.56,0,0.31,0.9,0.38,0.56,0.33
1,,1,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.4,1.13,5.83,3.18,3.18,0,0,3.12,5.62,3.21,0.76,3.17
1,,1,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,1.0,0.85,1.18,1.36,1.67,0,0.51,1.1,0.7,0.54,0.66,0
1,,1,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.73,1.14,1.02,1.95,1.73,0.35,0,1.55,1.31,0.9,0.63,0.34
1,,1,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,233.7,188.5,368.0,357.85,380.09,0,0,287.8,399.99,207.26,154.06,0
1,,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.93,1.08,1.02,0.98,1.24,0,0.86,1.0,0,0,0.64
1,,1,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.95,1.69,1.08,2.1,0.86,91.83,0,2.0,2.37,2.03,0.93,4.17
1,,1,,,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,2.2,2.41,0.62,3.81,1.55,2.44,0,7.15,1.6,1.16,0.5,0.5
1,,1,,,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.04,2.51,0.56,0.29,0.67,8.63,0,7.68,1.35,2.86,0.94,0.45
1,,1,,,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,3.32,3.24,0.96,2.46,1.82,1.23,1.05,8.42,1.66,4.01,0.5,0.52
1,,1,,,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,2.73,4.09,0.37,1.91,0.83,4.57,0,16.07,1.16,0.46,0.62,0.49
1,,1,,,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,588.3,688.3,165.58,620.31,320.24,0,0,2098.1,370.14,472.15,145.0,0
1,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.91,0,1.0,1.0,0,0,0.51
1,,,,1,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.72,5.92,0,0,0,0.69,0,2.63,2.18,3.87,1.05,0.59
1,,,,1,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,9.69,6.92,0,0,0,0.44,0,2.62,1.77,1.54,1.81,0.34
1,,,,1,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.41,3.92,0,0,0,0.65,0,3.46,1.96,2.84,1.54,0.26
1,,,,1,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,7.55,4.55,0,0,0,0.14,0.54,1.97,1.81,2.53,1.69,0.13
1,,,,1,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,11.26,9.34,0,0,0,0.69,0,3.54,0.97,1.73,0.98,0.76
1,,,,1,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2007.4,1508.4,0,0,0,0,0,644.06,398.2,502.16,368.02,0
1,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.95,1.03,1.25,1.15,0.2,0,1.0,1.0,0,0,0.49
1,,,,1,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.28,0.57,0.88,1.21,0.94,598.04,0,1.6,2.84,0.79,1.27,596.33
1,,,,1,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,0.95,0.85,0.79,0.7,0.64,0.63,0,0.41,0.52,0.63,1.32,0.29
1,,,,1,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,2.1,1.7,3.36,3.65,2.52,0.53,0,2.15,3.2,2.31,1.26,1.55
1,,,,1,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,2.71,1.13,5.21,0.88,0.24,0.61,1.38,1.28,1.46,1.12,1.3,0.34
1,,,,1,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,3.45,1.85,0.98,2.87,2.51,1.66,0,1.01,1.38,1.45,1.4,0.42
1,,,,1,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,464.4,283.7,530.39,360.41,268.01,0,0,241.8,323.81,263.29,315.24,0
1,,,,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,1.07,0.92,0.98,1.02,0.91,0,1.14,1.0,0,0,0.52
1,,,,1,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.81,1.23,1.08,2.79,1.66,5.51,0,1.23,1.93,0.92,0.96,3.74
1,,,,1,,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,5.6,5.35,0.79,2.59,1.35,0.58,0,8.05,0.62,1.58,2.85,0.63
1,,,,1,,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,3.1,4.21,0.87,2.57,1.41,0.67,0,13.14,1.3,1.98,0.87,0.9
1,,,,1,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,4.43,3.57,1.1,2.47,2.35,0.37,2.85,4.29,0.42,2.74,2.1,0.61
1,,,,1,,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,6.75,7.01,0.55,3.75,1.44,0.88,0,13.77,1.16,1.64,3.38,0.87
1,,,,1,,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,1170.7,1140.0,204.61,661.08,392.02,0,0,1954.3,199.75,448.41,575.82,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0.85,0,1.0,1.0,0,0,0.69
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,16.93,14.07,0,0,0,1.01,0,2.74,1.71,4.92,0.91,0.74
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,12.41,6.93,0,0,0,1.02,0,3.42,1.18,1.98,0.9,0.79
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,16.78,10.26,0,0,0,2.51,0,3.97,1.87,5.77,1.37,1.41
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,5.57,2.21,0,0,0,0.69,1.14,1.99,0.39,2.57,1.16,0.49
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,7.76,5.13,0,0,0,1.24,0,3.62,1.03,1.45,0.94,0.85
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2478.5,1459.2,0,0,0,0,0,735.3,253.15,621.03,245.78,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.13,0,0,1.0,0,0,0.01
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.14,2.37,1.45,1.28,1.52,0.4,0,0,1.52,1.52,0.63,6.41e-06
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,10.37,10.09,0.52,3.88,4.39,1.07,0,0,1.36,2.29,0.76,2.7
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,10.6,11.12,1.22,3.84,3.6,5.92,0,0,2.03,3.52,0.71,1.13
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,6.63,5.73,0.55,3.01,4.09,0.73,0,0,1.32,3.6,0.89,3.03
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,9.95,8.96,0.8,3.47,4.29,13.7,0,0,1.36,2.39,0.72,4.18
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2081.0,1973.4,172.98,806.86,951.04,0,0,0,341.38,645.54,186.39,0
1,,,,,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.53,0,1.0,1.0,0,0,0.55
1,,,,,1,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,51.46,65.29,1.2,2.34,2.05,1.05,0,5.07,5.83,3.05,0.53,0.81
1,,,,,1,,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,33.41,20.8,2.35,2.96,2.42,1.47,0,4.28,1.78,1.85,27.68,0.49
1,,,,,1,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,89.22,73.81,1.33,3.55,2.58,34.35,0,6.38,4.58,5.25,18.61,1.4
1,,,,,1,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,17.1,5.4,3.23,1.63,2.14,0.5,1.52,2.55,0.75,1.46,12.4,0.22
1,,,,,1,,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,38.85,26.69,0.43,1.6,1.25,16.0,0,5.81,1.18,2.83,19.39,0.93
1,,,,,1,,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,8788.7,6226.9,481.24,564.97,502.07,0,0,1040.5,465.41,563.76,4585.2,0
